,Indicator,Group,State,Subgroup,Week,Week Label,Value,Low CI,High CI,Confidence Interval,Quartile range,State Abbreviation
35,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1,Apr 23 - May 5,31.1,27.4,35.1,27.4 - 35.1,30.4 - 31.6,OH
36,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1,Apr 23 - May 5,28.6,24.9,32.4,24.9 - 32.4,27.9 - 30.3,OK
37,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1,Apr 23 - May 5,31.5,28.0,35.1,28.0 - 35.1,30.4 - 31.6,OR
38,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1,Apr 23 - May 5,31.0,27.5,34.7,27.5 - 34.7,30.4 - 31.6,PA
39,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1,Apr 23 - May 5,27.6,23.4,32.0,23.4 - 32.0,21.7 - 27.8,RI
40,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1,Apr 23 - May 5,27.8,24.0,31.7,24.0 - 31.7,21.7 - 27.8,SC
41,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1,Apr 23 - May 5,22.1,17.3,27.6,17.3 - 27.6,21.7 - 27.8,SD
42,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1,Apr 23 - May 5,28.2,22.8,34.0,22.8 - 34.0,27.9 - 30.3,TN
43,Symptoms of Anxiety Disorder,By State,Texas,Texas,1,Apr 23 - May 5,29.7,25.9,33.7,25.9 - 33.7,27.9 - 30.3,TX
44,Symptoms of Anxiety Disorder,By State,Utah,Utah,1,Apr 23 - May 5,28.9,24.9,33.1,24.9 - 33.1,27.9 - 30.3,UT
45,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1,Apr 23 - May 5,30.6,25.6,35.8,25.6 - 35.8,30.4 - 31.6,VT
46,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1,Apr 23 - May 5,28.5,25.4,31.8,25.4 - 31.8,27.9 - 30.3,VA
47,Symptoms of Anxiety Disorder,By State,Washington,Washington,1,Apr 23 - May 5,30.6,27.7,33.7,27.7 - 33.7,30.4 - 31.6,WA
48,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1,Apr 23 - May 5,28.8,24.0,33.9,24.0 - 33.9,27.9 - 30.3,WV
49,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1,Apr 23 - May 5,27.1,24.1,30.2,24.1 - 30.2,21.7 - 27.8,WI
50,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1,Apr 23 - May 5,24.9,21.0,29.2,21.0 - 29.2,21.7 - 27.8,WY
