,Indicator,Group,State,Subgroup,Week,Week Label,Value,Low CI,High CI,Confidence Interval,Quartile range,State Abbreviation
19,Symptoms of Anxiety Disorder,By State,Maine,Maine,3,May 14 - May 19,30.6,24.7,36.9,24.7 - 36.9,28.9-36.1,ME
20,Symptoms of Anxiety Disorder,By State,Maryland,Maryland,3,May 14 - May 19,28.3,25.1,31.7,25.1 - 31.7,27.5-28.8,MD
21,Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,3,May 14 - May 19,27.4,24.1,30.9,24.1 - 30.9,25.3-27.4,MA
22,Symptoms of Anxiety Disorder,By State,Michigan,Michigan,3,May 14 - May 19,28.5,24.4,32.9,24.4 - 32.9,27.5-28.8,MI
23,Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,3,May 14 - May 19,27.1,22.7,31.9,22.7 - 31.9,25.3-27.4,MN
24,Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,3,May 14 - May 19,36.1,29.1,43.6,29.1 - 43.6,28.9-36.1,MS
25,Symptoms of Anxiety Disorder,By State,Missouri,Missouri,3,May 14 - May 19,30.4,25.2,36.0,25.2 - 36.0,28.9-36.1,MO
26,Symptoms of Anxiety Disorder,By State,Montana,Montana,3,May 14 - May 19,25.7,20.7,31.1,20.7 - 31.1,25.3-27.4,MT
27,Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,3,May 14 - May 19,23.3,18.8,28.4,18.8 - 28.4,19.0-25.2,NE
28,Symptoms of Anxiety Disorder,By State,Nevada,Nevada,3,May 14 - May 19,29.0,25.0,33.3,25.0 - 33.3,28.9-36.1,NV
29,Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,3,May 14 - May 19,25.2,21.2,29.5,21.2 - 29.5,19.0-25.2,NH
30,Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,3,May 14 - May 19,34.4,29.1,40.0,29.1 - 40.0,28.9-36.1,NJ
31,Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,3,May 14 - May 19,29.6,25.4,34.2,25.4 - 34.2,28.9-36.1,NM
32,Symptoms of Anxiety Disorder,By State,New York,New York,3,May 14 - May 19,26.8,23.1,30.8,23.1 - 30.8,25.3-27.4,NY
33,Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,3,May 14 - May 19,28.4,23.4,33.9,23.4 - 33.9,27.5-28.8,NC
34,Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,3,May 14 - May 19,26.2,19.7,33.5,19.7 - 33.5,25.3-27.4,ND
35,Symptoms of Anxiety Disorder,By State,Ohio,Ohio,3,May 14 - May 19,26.2,22.5,30.2,22.5 - 30.2,25.3-27.4,OH
36,Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,3,May 14 - May 19,25.2,19.8,31.3,19.8 - 31.3,19.0-25.2,OK
37,Symptoms of Anxiety Disorder,By State,Oregon,Oregon,3,May 14 - May 19,24.2,20.3,28.4,20.3 - 28.4,19.0-25.2,OR
38,Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,3,May 14 - May 19,25.8,22.3,29.5,22.3 - 29.5,25.3-27.4,PA
39,Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,3,May 14 - May 19,23.9,18.8,29.6,18.8 - 29.6,19.0-25.2,RI
40,Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,3,May 14 - May 19,28.5,23.8,33.5,23.8 - 33.5,27.5-28.8,SC
41,Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,3,May 14 - May 19,22.3,16.4,29.1,16.4 - 29.1,19.0-25.2,SD
42,Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,3,May 14 - May 19,24.8,20.5,29.5,20.5 - 29.5,19.0-25.2,TN
43,Symptoms of Anxiety Disorder,By State,Texas,Texas,3,May 14 - May 19,28.8,26.1,31.7,26.1 - 31.7,27.5-28.8,TX
44,Symptoms of Anxiety Disorder,By State,Utah,Utah,3,May 14 - May 19,26.1,22.4,30.1,22.4 - 30.1,25.3-27.4,UT
45,Symptoms of Anxiety Disorder,By State,Vermont,Vermont,3,May 14 - May 19,25.8,21.5,30.4,21.5 - 30.4,25.3-27.4,VT
46,Symptoms of Anxiety Disorder,By State,Virginia,Virginia,3,May 14 - May 19,26.8,23.3,30.6,23.3 - 30.6,25.3-27.4,VA
47,Symptoms of Anxiety Disorder,By State,Washington,Washington,3,May 14 - May 19,28.9,25.8,32.1,25.8 - 32.1,28.9-36.1,WA
48,Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,3,May 14 - May 19,29.3,22.0,37.4,22.0 - 37.4,28.9-36.1,WV
49,Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,3,May 14 - May 19,23.4,18.8,28.5,18.8 - 28.5,19.0-25.2,WI
50,Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,3,May 14 - May 19,24.1,17.7,31.6,17.7 - 31.6,19.0-25.2,WY
