Indicator,Group,State,Subgroup,State Abbreviation,Week,Week-Label,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Depressive Disorder,By State,Missouri,Missouri,MO,1,Apr 23 - May 5,21,17.9,24.5,17.9 - 24.5,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Montana,Montana,MT,1,Apr 23 - May 5,18.2,14.9,21.8,14.9 - 21.8,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,NE,1,Apr 23 - May 5,19.1,15.3,23.3,15.3 - 23.3,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Nevada,Nevada,NV,1,Apr 23 - May 5,23.6,19.1,28.7,19.1 - 28.7,22.2 - 24.0
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,NH,1,Apr 23 - May 5,19.5,16.5,22.7,16.5 - 22.7,16.5 - 20.7
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,NJ,1,Apr 23 - May 5,23.6,20.4,27,20.4 - 27.0,22.2 - 24.0
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,NM,1,Apr 23 - May 5,22.4,18.3,26.9,18.3 - 26.9,22.2 - 24.0
Symptoms of Depressive Disorder,By State,New York,New York,NY,1,Apr 23 - May 5,28.7,24.6,33.1,24.6 - 33.1,24.1 - 28.7
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,NC,1,Apr 23 - May 5,21.1,17.1,25.6,17.1 - 25.6,20.8 - 22.1
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,ND,1,Apr 23 - May 5,17,13.7,20.7,13.7 - 20.7,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Ohio,Ohio,OH,1,Apr 23 - May 5,21.2,18.2,24.5,18.2 - 24.5,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,OK,1,Apr 23 - May 5,20.8,16.4,25.7,16.4 - 25.7,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Oregon,Oregon,OR,1,Apr 23 - May 5,22.5,19.7,25.4,19.7 - 25.4,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,PA,1,Apr 23 - May 5,24.7,21.6,28.1,21.6 - 28.1,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,RI,1,Apr 23 - May 5,24.5,19.9,29.7,19.9 - 29.7,24.1 - 28.7
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,SC,1,Apr 23 - May 5,21.6,17.9,25.7,17.9 - 25.7,20.8 - 22.1
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,SD,1,Apr 23 - May 5,17.5,13,22.7,13.0 - 22.7,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,TN,1,Apr 23 - May 5,22.2,17.2,27.8,17.2 - 27.8,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Texas,Texas,TX,1,Apr 23 - May 5,24.4,21.1,27.9,21.1 - 27.9,24.1 - 28.7
Symptoms of Depressive Disorder,By State,Utah,Utah,UT,1,Apr 23 - May 5,22.9,20,26,20.0 - 26.0,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Vermont,Vermont,VT,1,Apr 23 - May 5,20.7,15.9,26.3,15.9 - 26.3,16.5 - 20.7
Symptoms of Depressive Disorder,By State,Virginia,Virginia,VA,1,Apr 23 - May 5,21.5,18,25.3,18.0 - 25.3,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Washington,Washington,WA,1,Apr 23 - May 5,22.1,19.7,24.7,19.7 - 24.7,20.8 - 22.1
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,WV,1,Apr 23 - May 5,23.4,19.5,27.6,19.5 - 27.6,22.2 - 24.0
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,WI,1,Apr 23 - May 5,22,19.2,25,19.2 - 25.0,20.8 - 22.1
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,WY,1,Apr 23 - May 5,18.9,15.3,22.9,15.3 - 22.9,16.5 - 20.7
