Facility,Inmates Positive,Staff Positive,Inmate Deaths,Staff Deaths,Inmates Recovered,Staff Recovered,City,State,Latitude,Longitude
Yazoo City Medium FCI,1,6,0,0,6,2,Yazoo City,MS,32.8551326,-90.4056469
"Cherry Street Services, Inc. (RRC)",2,0,0,0,2,0,Grand Rapids,MI,42.9632405,-85.6678639
"GEO Reentry of Alaska, Inc. (RRC)",2,0,0,0,0,0,Oakland,CA,37.8044557,-122.2713563
Watkinson House (RRC),2,0,0,0,0,0,Hartford,CT,,
Bennettsville FCI,3,2,0,0,1,0,Bennettsville,SC,34.6173803,-79.6847814
"Kintock Group, The (RRC)",3,0,0,0,0,0,Philadelphia,PA,39.9527237,-75.1635262
"Kintock Group, The (RRC)",3,0,0,0,0,0,Newark,NJ,40.735657,-74.1723667
Butner FMC,5,5,0,0,0,2,Butner,NC,36.12474,-78.75718105
Gilmer FCI,5,0,0,0,0,0,Glenville,WV,,
"Community Resources for Justice, Inc. (RRC)",7,0,0,0,0,0,Boston,MA,42.3602534,-71.0582912
"Volunteers of America Texas, Inc. (RRC)",8,0,0,0,0,0,Hutchins,TX,,
Yazoo City USP,12,10,1,0,0,0,Yazoo City,MS,32.8551326,-90.4056469
Milan FCI,13,11,3,0,58,45,Milan,MI,42.0848616,-83.6830279
"Dismas Charities, Inc. (RRC)",14,0,0,0,0,0,Corpus Christi,TX,,
Butner Low FCI,17,3,0,0,39,4,Butner,NC,36.12474,-78.75718105
"Volunteers of America, Inc. (Minnesota) (RRC)",19,0,0,0,0,0,Minneapolis,MN,44.9772995,-93.2654692
Hampshire House (RRC),20,0,0,0,0,0,Manchester,NH,,
Lompoc USP,21,16,2,0,93,6,Lompoc,CA,34.6391501,-120.4579409
"GEO Reentry, Inc. (RRC)",23,0,0,0,0,0,Leavenworth,KS,37.8044557,-122.2713563
Oklahoma City FTC,25,0,1,0,0,0,Oklahoma City,OK,35.4729886,-97.5170536
Danbury FCI,27,7,1,0,48,50,Danbury,CT,41.394817,-73.4540111
Fort Dix FCI,27,1,0,0,31,4,Joint Base Mdl,NJ,39.997349,-74.613007
Yazoo City Low FCI,30,5,0,0,68,2,Yazoo City,MS,32.8551326,-90.4056469
Oakdale I FCI,49,17,7,0,58,1,Oakdale,LA,44.991003,-92.96437403
Elkton FCI,89,12,9,0,50,40,Lisbon,OH,40.7720044,-80.7681336
Chicago MCC,104,15,0,0,39,14,Chicago,IL,41.8755616,-87.6244212
Terminal Island FCI,150,15,7,0,552,0,San Pedro,CA,33.7358518,-118.2922934
Lexington FMC,157,6,1,0,1,0,Lexington,KY,38.0464066,-84.4970393
Butner Medium I FCI,197,13,7,0,61,12,Butner,NC,36.12474,-78.75718105
Forrest City Low FCI,244,1,0,0,50,2,Forrest City,AR,35.0081474,-90.7898342
Fort Worth FMC,635,4,6,0,4,0,Fort Worth,TX,32.753177,-97.3327459
Lompoc FCI,886,13,0,0,25,3,Lompoc,CA,34.6391501,-120.4579409
